Image Name,Sigma,Intensity,Detail,PSNR (dB)
crab,10.0,6.0,35.0,29.085261102267804
crab,10.0,6.0,40.0,28.99000553906168
crab,10.0,6.0,45.0,28.614638949582748
crab,10.0,6.0,50.0,28.56782794188032
crab,10.0,6.0,55.0,28.38187050151554
crab,10.0,6.0,60.0,28.449665962926627
crab,10.0,6.0,65.0,27.78657615859496
crab,10.0,6.0,70.0,28.486273533960308
crab,10.0,6.0,75.0,28.40109964112344
crab,10.0,6.0,80.0,27.906716521923165
crab,10.0,6.0,85.0,27.222181244320307
crab,10.0,6.0,90.0,27.50247776115996
crab,10.0,6.0,95.0,27.84154813707633
crab,10.0,7.0,0.0,27.896905451089722
crab,10.0,7.0,5.0,31.679824393836853
crab,10.0,7.0,10.0,31.7563453920668
crab,10.0,7.0,15.0,29.93091617443393
crab,10.0,7.0,20.0,30.404195450892104
crab,10.0,7.0,25.0,29.906520802261003
crab,10.0,7.0,30.0,29.617638302382183
crab,10.0,7.0,35.0,29.103563924050412
crab,10.0,7.0,40.0,27.95911052116384
crab,10.0,7.0,45.0,27.137885210182986
crab,10.0,7.0,50.0,28.40572990844473
crab,10.0,7.0,55.0,28.08977343569991
crab,10.0,7.0,60.0,27.38100295252725
crab,10.0,7.0,65.0,28.411118155506806
crab,10.0,7.0,70.0,28.298384236455608
crab,10.0,7.0,75.0,28.23222783860372
crab,10.0,7.0,80.0,27.995223608005904
crab,10.0,7.0,85.0,28.076233839358988
crab,10.0,7.0,90.0,27.716937699648728
crab,10.0,7.0,95.0,27.858640890794373
crab,10.0,8.0,0.0,28.018058561975604
crab,10.0,8.0,5.0,31.88316035890825
crab,10.0,8.0,10.0,31.78712356496807
crab,10.0,8.0,15.0,29.839127829970774
crab,10.0,8.0,20.0,30.37730169231128
crab,10.0,8.0,25.0,28.615818957748534
crab,10.0,8.0,30.0,27.932828975193914
crab,10.0,8.0,35.0,29.525215064287575
crab,10.0,8.0,40.0,28.916467328081584
crab,10.0,8.0,45.0,28.521976871173703
crab,10.0,8.0,50.0,28.691921636842032
crab,10.0,8.0,55.0,28.634444592421268
crab,10.0,8.0,60.0,28.4985784963837
crab,10.0,8.0,65.0,28.214063789733892
crab,10.0,8.0,70.0,27.76127898934228
crab,10.0,8.0,75.0,27.216507790482048
crab,10.0,8.0,80.0,28.223871499025282
crab,10.0,8.0,85.0,27.859376083385754
crab,10.0,8.0,90.0,28.022014569910823
crab,10.0,8.0,95.0,28.11912777705432
crab,10.0,9.0,0.0,27.771329975430426
crab,10.0,9.0,5.0,30.662794536174545
crab,10.0,9.0,10.0,31.66621288223359
crab,10.0,9.0,15.0,30.71522663849555
crab,10.0,9.0,20.0,29.894388344175372
crab,10.0,9.0,25.0,29.35976034894199
crab,10.0,9.0,30.0,29.75207102262241
crab,10.0,9.0,35.0,28.72573712247901
crab,10.0,9.0,40.0,28.94743939232089
crab,10.0,9.0,45.0,28.58363605804253
crab,10.0,9.0,50.0,28.760561713746533
crab,10.0,9.0,55.0,28.065444241697005
crab,10.0,9.0,60.0,28.681685517672854
crab,10.0,9.0,65.0,28.25892681574624
crab,10.0,9.0,70.0,28.40401631934207
crab,10.0,9.0,75.0,27.477780068578767
crab,10.0,9.0,80.0,27.529619893145128
crab,10.0,9.0,85.0,28.06408618840883
crab,10.0,9.0,90.0,28.20118096024803
crab,10.0,9.0,95.0,27.792998115239268
crab,10.0,10.0,0.0,27.635432173642048
crab,10.0,10.0,5.0,31.25232912587556
crab,10.0,10.0,10.0,31.886528624539395
crab,10.0,10.0,15.0,31.374187069954964
crab,10.0,10.0,20.0,30.868645512783136
crab,10.0,10.0,25.0,30.15327917979436
crab,10.0,10.0,30.0,29.49741595902256
crab,10.0,10.0,35.0,29.561714751420602
crab,10.0,10.0,40.0,29.236345665131694
crab,10.0,10.0,45.0,28.640092121846784
crab,10.0,10.0,50.0,28.518351782581448
crab,10.0,10.0,55.0,28.66201579738993
crab,10.0,10.0,60.0,28.050591403637156
crab,10.0,10.0,65.0,27.256813671975326
crab,10.0,10.0,70.0,27.70063276372353
crab,10.0,10.0,75.0,27.712280770969496
crab,10.0,10.0,80.0,27.99567673529953
crab,10.0,10.0,85.0,28.209251894416127
crab,10.0,10.0,90.0,27.811311959618426
crab,10.0,10.0,95.0,28.281602196020252
crab,15.0,1.0,0.0,23.779955334817124
crab,15.0,1.0,5.0,26.69973311624499
crab,15.0,1.0,10.0,25.29823721503986
crab,15.0,1.0,15.0,25.53804639170003
crab,15.0,1.0,20.0,25.175335395760627
crab,15.0,1.0,25.0,25.074072794102047
crab,15.0,1.0,30.0,24.66920885399005
crab,15.0,1.0,35.0,24.805516077768523
crab,15.0,1.0,40.0,24.843104780404115
crab,15.0,1.0,45.0,24.996843366018147
crab,15.0,1.0,50.0,24.62471136993304
crab,15.0,1.0,55.0,24.816312652246513
crab,15.0,1.0,60.0,24.855175224684963
crab,15.0,1.0,65.0,24.8927056360844
crab,15.0,1.0,70.0,24.849087587661995
crab,15.0,1.0,75.0,23.96818098343545
crab,15.0,1.0,80.0,23.354429955831023
crab,15.0,1.0,85.0,24.10824618027374
crab,15.0,1.0,90.0,24.35159897733613
crab,15.0,1.0,95.0,24.209031314514604
crab,15.0,2.0,0.0,24.09978022111785
crab,15.0,2.0,5.0,26.863498217729262
crab,15.0,2.0,10.0,26.266294618574925
crab,15.0,2.0,15.0,25.508701258177684
crab,15.0,2.0,20.0,25.16192341069861
crab,15.0,2.0,25.0,24.554930287364165
crab,15.0,2.0,30.0,25.170193637078697
crab,15.0,2.0,35.0,25.04508136043983
crab,15.0,2.0,40.0,25.010497838926568
crab,15.0,2.0,45.0,24.674227244973093
crab,15.0,2.0,50.0,24.945899699771065
crab,15.0,2.0,55.0,24.837134773912478
crab,15.0,2.0,60.0,24.889255840934247
crab,15.0,2.0,65.0,24.14026303072804
crab,15.0,2.0,70.0,24.527546079065708
crab,15.0,2.0,75.0,24.79137076352847
crab,15.0,2.0,80.0,24.77009530180388
crab,15.0,2.0,85.0,24.460955177746893
crab,15.0,2.0,90.0,24.351110425529512
crab,15.0,2.0,95.0,24.097283744064
crab,15.0,3.0,0.0,24.501498550664174
crab,15.0,3.0,5.0,28.49262529200478
crab,15.0,3.0,10.0,26.75404252699344
crab,15.0,3.0,15.0,25.32381164932776
crab,15.0,3.0,20.0,25.112024062949565
crab,15.0,3.0,25.0,25.26522760093956
crab,15.0,3.0,30.0,25.56095029152204
crab,15.0,3.0,35.0,24.69973165660121
crab,15.0,3.0,40.0,25.158280542456296
crab,15.0,3.0,45.0,24.66103184278009
crab,15.0,3.0,50.0,24.922673631815485
crab,15.0,3.0,55.0,24.92424529720861
crab,15.0,3.0,60.0,24.67768547514851
crab,15.0,3.0,65.0,24.95765144861115
crab,15.0,3.0,70.0,24.762079883317906
crab,15.0,3.0,75.0,24.620021814033173
crab,15.0,3.0,80.0,24.92630812361812
crab,15.0,3.0,85.0,24.56507543086752
crab,15.0,3.0,90.0,24.700880648668946
crab,15.0,3.0,95.0,24.3332736035393
crab,15.0,4.0,0.0,23.781056119197274
crab,15.0,4.0,5.0,28.154929359629325
crab,15.0,4.0,10.0,27.311500984456835
crab,15.0,4.0,15.0,26.545907987630915
crab,15.0,4.0,20.0,25.38356270953412
crab,15.0,4.0,25.0,24.929469828793536
crab,15.0,4.0,30.0,25.3036128150081
crab,15.0,4.0,35.0,24.19990762544836
crab,15.0,4.0,40.0,25.14796922647089
crab,15.0,4.0,45.0,25.17149055466559
crab,15.0,4.0,50.0,25.2088921583356
crab,15.0,4.0,55.0,24.905606014178737
crab,15.0,4.0,60.0,25.02738163917892
crab,15.0,4.0,65.0,24.553681656345677
crab,15.0,4.0,70.0,24.76307944452891
crab,15.0,4.0,75.0,24.814174969100037
crab,15.0,4.0,80.0,24.539303123843172
crab,15.0,4.0,85.0,24.785693503660426
crab,15.0,4.0,90.0,24.624052254493808
crab,15.0,4.0,95.0,22.831364441201803
crab,15.0,5.0,0.0,24.699035901530962
crab,15.0,5.0,5.0,27.83027747871086
crab,15.0,5.0,10.0,27.239478163432
crab,15.0,5.0,15.0,25.298572936114464
crab,15.0,5.0,20.0,25.416844549503413
crab,15.0,5.0,25.0,25.151438172347994
crab,15.0,5.0,30.0,25.355152309941968
crab,15.0,5.0,35.0,25.456900004521962
crab,15.0,5.0,40.0,25.246586403365608
crab,15.0,5.0,45.0,24.835895998683014
crab,15.0,5.0,50.0,25.061534019098342
crab,15.0,5.0,55.0,24.758239048155108
crab,15.0,5.0,60.0,25.027069432503037
crab,15.0,5.0,65.0,24.75349491715815
crab,15.0,5.0,70.0,24.831029262355738
crab,15.0,5.0,75.0,24.93008023507548
crab,15.0,5.0,80.0,24.05356341750016
crab,15.0,5.0,85.0,24.031525338293036
crab,15.0,5.0,90.0,22.65144948366233
crab,15.0,5.0,95.0,24.772629487455607
crab,15.0,6.0,0.0,24.39581647162616
crab,15.0,6.0,5.0,28.38112788976048
crab,15.0,6.0,10.0,28.254819564814177
crab,15.0,6.0,15.0,26.260409646896488
crab,15.0,6.0,20.0,26.10558279681776
crab,15.0,6.0,25.0,25.754102405726556
crab,15.0,6.0,30.0,25.503598270904945
crab,15.0,6.0,35.0,25.6086864925522
crab,15.0,6.0,40.0,25.370102115576678
crab,15.0,6.0,45.0,25.14871631536057
crab,15.0,6.0,50.0,25.238947194684812
crab,15.0,6.0,55.0,25.09594090887841
crab,15.0,6.0,60.0,24.974634936862465
crab,15.0,6.0,65.0,24.54860372583053
crab,15.0,6.0,70.0,24.96273423234582
crab,15.0,6.0,75.0,24.795810831665808
crab,15.0,6.0,80.0,24.85540515875107
crab,15.0,6.0,85.0,24.104155048790297
crab,15.0,6.0,90.0,24.703106626897124
crab,15.0,6.0,95.0,24.57189593108663
crab,15.0,7.0,0.0,24.58174207415808
crab,15.0,7.0,5.0,29.380201550414075
crab,15.0,7.0,10.0,27.91337424042256
crab,15.0,7.0,15.0,27.001312035472232
crab,15.0,7.0,20.0,26.400564701993304
crab,15.0,7.0,25.0,26.11160525703067
crab,15.0,7.0,30.0,25.93831823269217
crab,15.0,7.0,35.0,25.695033729931026
crab,15.0,7.0,40.0,25.579405114398078
crab,15.0,7.0,45.0,24.368086804967998
crab,15.0,7.0,50.0,24.82455739554873
crab,15.0,7.0,55.0,23.795993228709182
crab,15.0,7.0,60.0,24.748656314314808
crab,15.0,7.0,65.0,24.69845365986867
crab,15.0,7.0,70.0,24.756090712732988
crab,15.0,7.0,75.0,24.96938014777418
crab,15.0,7.0,80.0,24.91459156994614
crab,15.0,7.0,85.0,24.745521124806228
crab,15.0,7.0,90.0,24.792560512336685
crab,15.0,7.0,95.0,24.22125523075232
crab,15.0,8.0,0.0,24.482414386418856
crab,15.0,8.0,5.0,29.25544089201549
crab,15.0,8.0,10.0,28.021538113142327
crab,15.0,8.0,15.0,26.481739633915105
crab,15.0,8.0,20.0,25.527034709512204
crab,15.0,8.0,25.0,26.082874727553417
crab,15.0,8.0,30.0,25.07783714908001
crab,15.0,8.0,35.0,25.739186886327506
crab,15.0,8.0,40.0,25.049026080252613
crab,15.0,8.0,45.0,25.460295726355863
crab,15.0,8.0,50.0,25.23095210522939
crab,15.0,8.0,55.0,25.13500192248719
crab,15.0,8.0,60.0,24.951350030117325
crab,15.0,8.0,65.0,24.834561541614534
crab,15.0,8.0,70.0,24.960317276741478
crab,15.0,8.0,75.0,24.94978326449871
crab,15.0,8.0,80.0,24.909971968621623
crab,15.0,8.0,85.0,24.556171802851424
crab,15.0,8.0,90.0,24.596002160658017
crab,15.0,8.0,95.0,24.56871451230384
crab,15.0,9.0,0.0,23.588216167488238
crab,15.0,9.0,5.0,29.36486900638926
crab,15.0,9.0,10.0,28.00117085163895
crab,15.0,9.0,15.0,26.645029215781733
crab,15.0,9.0,20.0,26.01777991835258
crab,15.0,9.0,25.0,26.06234595003931
crab,15.0,9.0,30.0,25.97109270492425
crab,15.0,9.0,35.0,25.72596495084177
crab,15.0,9.0,40.0,24.65678718833217
crab,15.0,9.0,45.0,25.206193917845248
crab,15.0,9.0,50.0,24.363031829546188
crab,15.0,9.0,55.0,25.30213861746082
crab,15.0,9.0,60.0,25.008672035547924
crab,15.0,9.0,65.0,25.133604659998056
crab,15.0,9.0,70.0,24.767645860336962
crab,15.0,9.0,75.0,24.682793450412078
crab,15.0,9.0,80.0,24.527995731282225
crab,15.0,9.0,85.0,24.783008945933677
crab,15.0,9.0,90.0,24.70092283758841
crab,15.0,9.0,95.0,24.74608499064216
crab,15.0,10.0,0.0,24.16674562247364
crab,15.0,10.0,5.0,25.732680934629464
crab,15.0,10.0,10.0,27.78052681021512
crab,15.0,10.0,15.0,27.714058178733897
crab,15.0,10.0,20.0,26.401936982452092
crab,15.0,10.0,25.0,26.21735602941909
crab,15.0,10.0,30.0,24.54884984874873
